Name,symbol,address,owner,decimals,coingecko,logo
Uniswap,UNI,https://etherscan.io/address/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x,18,https://www.coingecko.com/en/coins/uniswap,https://ethplorer.io
Binance Coin,BNB,https://etherscan.io/address/0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x00c5e04176d95a286fcce0e68c683ca0bfec8454,18,https://www.coingecko.com/en/coins/binancecoin,https://ethplorer.io/images/BNBb8c77482.png
DFI.money,YFII,https://etherscan.io/address/0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x,18,https://www.coingecko.com/en/coins/yfii-finance,https://ethplorer.io/images/YFIIa1d0e215.png
OMG Network,OMG,https://etherscan.io/address/0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x000000000000000000000000000000000000dead,18,https://www.coingecko.com/en/coins/omisego,https://ethplorer.io/images/OMGd26114cd.jpg
Dai,DAI,https://etherscan.io/address/0x6b175474e89094c44da98b954eedeac495271d0f,0x,18,https://www.coingecko.com/en/coins/dai,https://ethplorer.io/images/mcd-dai.png
Band Protocol,BAND,https://etherscan.io/address/0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0x,18,https://www.coingecko.com/en/coins/band-protocol,https://ethplorer.io/images/band.png
Crypto.com Coin,CRO,https://etherscan.io/address/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,0x3a39867b3dbc8a9dd55c4073e87cdab065430945,8,https://www.coingecko.com/en/coins/crypto-com-chain,https://ethplorer.io/images/CROa0b73e1f.png
Loopring,LRC,https://etherscan.io/address/0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,0x,18,https://www.coingecko.com/en/coins/loopring,https://ethplorer.io/images/lrc.png
Storj,STORJ,https://etherscan.io/address/0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x,8,https://www.coingecko.com/en/coins/storj,https://ethplorer.io/images/storj.png
Swipe,SXP,https://etherscan.io/address/0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,0x772463ce2f97393218f610c2688529880c9f730a,18,https://www.coingecko.com/en/coins/swipe,https://ethplorer.io/images/SXP8ce9137d.png
AirSwap,AST,https://etherscan.io/address/0x27054b13b1b798b345b591a4d22e6562d47ea75a,0x000000000000000000000000000000000000dead,4,https://www.coingecko.com/en/coins/airswap,https://ethplorer.io/images/airswap.png
Aragon,ANT,https://etherscan.io/address/0x960b236a07cf122663c4303350609a66a7b288c0,0x,18,https://www.coingecko.com/en/coins/aragon,https://ethplorer.io/images/ANT960b236a.png
UMA,UMA,https://etherscan.io/address/0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x,18,https://www.coingecko.com/en/coins/uma,https://ethplorer.io/images/uma.png
Aavegotchi GHST Token,GHST,https://etherscan.io/address/0x3f382dbd960e3a9bbceae22651e88158d2791550,0x,18,https://www.coingecko.com/en/coins/aavegotchi,https://ethplorer.io
DIA,DIA,https://etherscan.io/address/0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0x5737bf56559dd32d8880cfa236fe613e2162e157,18,https://www.coingecko.com/en/coins/dia-data,https://ethplorer.io/images/DIA84ca8bc7.png
